オーナー名,店名,種類,リンク,Xタグ,URL（情報元）,DC,サーバー,居住区,番地
Little Garden,【魚頭楽シリーズ第4弾】本格派  居酒屋老舗割烹  「魚頭楽紋次郎1799」🏮,スタジオ・居酒屋,https://x.com/lite170370/status/1885176733277839402,#魚頭楽,https://www.14-store-log.com/stores/0359dd8f-ffe7-4405-9164-5c0edd853239,Mana,Chocobo,ゴブレットビュート 27区,36番地
Nama Shin,大衆居酒屋「なまとと」,居酒屋,,#ff14なまとと,https://www.14-store-log.com/stores/11759e5f-298e-4901-aadd-280680152a40,Elemental,Atomos,ミストヴィレッジ 27区,19番地
Fevu White,和風居酒屋 ”縁(えにし)”,居酒屋・その他,,,https://www.14-store-log.com/stores/927a8343-f58b-424b-9264-9d764678b690,Elemental,Gungnir,ラベンダーベッド 28区,47番地
吉田 ケン太,#カフェバーきんぎょ,カフェ・BAR,https://x.com/KINGYO20240103,,https://www.14-store-log.com/stores/96005303-1d19-4703-81ab-47c902678d19,Mana,Pandaemonium,ゴブレットビュート 7区,20番地
Yu-ton Turquoise(ユウトン),Cafe&Bar【shtola】,BAR・カフェ,https://x.com/yuton_iroiro,#cafebar_shtola,https://www.14-store-log.com/stores/a69871de-1d25-4a10-909a-3b1c5b9e5408,Mana,Masamune,エンピレアム 4区,イングルサイド1号 14号室
Katrina Lewis,ヒラ向けミラプリショップ【エスナ】,マネキンショップ・販売店,https://x.com/ff14shop_esna?s=21&t=lxFXBjIq_LGHJCuctTz9Gw,#ミラショエスナ,https://www.14-store-log.com/stores/e6b48484-c257-403a-aa98-5117ab790ad6,Meteor,Shinryu,ミストヴィレッジ 22区,48番地
takubnekonyan,バー　,BAR,,,https://www.14-store-log.com/stores/26f7e8cd-13a6-44c3-9a39-5da2a946fdfd,Mana,Masamune,ミストヴィレッジ 24区,トップマスト2号 66
Sim Slowlet,森の迷路cafe【リスの隠れ家】,カフェ・その他,,#リスの隠れ家,https://www.14-store-log.com/stores/0109975d-8088-4fc0-bc70-88fe099007a2,Mana,Masamune,ラベンダーベッド 21区,17番地
Taian Stalhaerz,PUB【髭と眼鏡】チョコボ鯖店,BAR,https://x.com/taian_ff14,,https://www.14-store-log.com/stores/ac2893f5-b8d9-4a76-89f8-22e0f367a6f1,Mana,Chocobo,ゴブレットビュート 25区,30番地
DigiTama,【配信BAR】TAMA'S BAR,BAR,https://x.com/DigiTama_Belias,#TAMASBAR,https://www.14-store-log.com/stores/7782f59e-4836-454a-ba19-440887b812b5,Meteor,Belias,ラベンダーベッド 19区,18番地
Leo Alexiel,廃墟ネットカフェ 《BASE》,カフェ・その他,https://x.com/LeoA_EorzeaShop,#Leo_FF14shop,https://www.14-store-log.com/stores/df6bcc05-17ab-4d6f-8ecd-911713bfb615,Mana,Titan,エンピレアム 19区,イングルサイド2号 7号室
Odede Vivy,Night CLUB【HELME】,その他,https://x.com/YUC_e?t=jCotCMgcIol2Rue8c2MRNQ&s=09,#FF14HELME,https://www.14-store-log.com/stores/9b021e76-441d-4f2f-a776-4803244cb414,Mana,Hades,シロガネ 16区,13番地
Shien Dragneel,BAR Infinity,BAR,https://x.com/FF_BAR_INFINITY,#BAR_INFINITY,https://www.14-store-log.com/stores/533fdd9a-a2cf-4d66-a307-5e45585521ed,Mana,Asura,ゴブレットビュート 11区,28番地
Nobe Celes(ノベ),Bar Celest,BAR,,#Bar_Celest,https://www.14-store-log.com/stores/f8625884-f6c5-47ff-970d-5e6360023baa,Mana,Anima,エンピレアム 25区,イングルサイド1号 19号室
Liquid Cat ,流体力学猫,交流店・クラブ,,#流体力学猫,https://www.14-store-log.com/stores/68bafd02-771c-43e8-bfef-7631798cd1ea,Mana,Masamune,ゴブレットビュート 23区,21番地
